row ID,TARGET_LABEL
Row2,0
Row6,0
Row7,0
Row10,0
Row12,0
Row15,0
Row16,0
Row18,0
Row20,0
Row30,0
Row33,0
Row35,0
Row36,0
Row48,0
Row51,0
Row52,0
Row54,0
Row57,0
Row58,0
Row59,0
Row63,0
Row64,0
Row65,0
Row66,0
Row68,0
Row70,0
Row71,0
Row72,0
Row74,0
Row75,0
Row85,0
Row89,0
Row100,0
Row101,0
Row108,0
Row112,0
Row113,0
Row115,0
Row119,0
Row122,0
Row126,0
Row127,0
Row130,0
Row133,0
Row134,0
Row136,0
Row138,0
Row140,0
Row144,0
Row145,0
Row148,0
Row149,0
Row161,0
Row162,0
Row163,0
Row171,0
Row176,0
Row178,0
Row179,0
Row182,0
Row183,0
Row184,0
Row186,0
Row187,0
Row188,0
Row190,0
Row194,0
Row196,0
Row197,0
Row198,0
Row200,0
Row202,0
Row204,0
Row224,0
Row228,0
Row229,0
Row230,0
Row232,0
Row236,0
Row238,0
Row241,0
Row243,0
Row245,0
Row247,0
Row249,0
Row250,0
Row253,0
Row254,0
Row260,0
Row261,0
Row265,0
Row279,0
Row280,0
Row284,0
Row285,0
Row288,0
Row289,0
Row294,0
Row303,0
Row304,0
Row309,0
Row310,0
Row312,0
Row314,0
Row318,0
Row320,0
Row330,0
Row333,0
Row338,0
Row347,0
Row348,0
Row353,0
Row356,0
Row359,0
Row361,0
Row363,0
Row364,0
Row365,0
Row369,0
Row371,0
Row372,0
Row377,0
Row378,0
Row381,0
Row382,0
Row386,0
Row387,0
Row390,0
Row391,0
Row393,0
Row397,0
Row398,0
Row399,0
Row401,0
Row402,0
Row403,0
Row404,0
Row408,0
Row411,0
Row412,0
Row415,0
Row417,0
Row421,0
Row424,0
Row425,0
Row427,0
Row428,0
Row429,0
Row432,0
Row433,0
Row434,0
Row439,0
Row443,0
Row445,0
Row448,0
Row451,0
Row455,0
Row457,0
Row458,0
Row466,0
Row468,0
Row470,0
Row471,0
Row472,0
Row473,0
Row475,0
Row479,0
Row481,0
Row483,0
Row484,0
Row487,0
Row489,0
Row491,0
Row493,0
Row494,0
Row495,0
Row501,0
Row506,0
Row507,0
Row512,0
Row513,0
Row516,0
Row519,0
Row521,0
Row523,0
Row528,0
Row529,0
Row532,0
Row533,0
Row536,0
Row542,0
Row543,0
Row544,0
Row545,0
Row547,0
Row548,0
Row549,0
Row551,0
Row555,0
Row560,0
Row564,0
Row565,0
Row566,0
Row568,0
Row569,0
Row571,0
Row577,0
Row579,0
Row581,0
Row583,0
Row588,0
Row590,0
Row596,0
Row598,0
Row599,0
Row603,0
Row606,0
Row607,0
Row609,0
Row611,0
Row614,0
Row615,0
Row620,0
Row627,0
Row632,0
Row638,0
Row639,0
Row642,0
Row653,0
Row656,0
Row660,0
Row663,0
Row664,0
Row666,0
Row669,0
Row671,0
Row672,0
Row678,0
Row685,0
Row687,0
Row691,0
Row692,0
Row693,0
Row695,0
Row696,0
Row698,0
Row699,0
Row702,0
Row704,0
Row706,0
Row707,0
Row711,0
